animal,decline,migratory,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere,EOO
Abeillia_abeillei,1,0,1,0,0,1,0,1,0,0,0,0,2,379000
Abroscopus_albogularis,0,0,0,0,1,0,0,1,0,0,1,0,3,4300000
Abroscopus_schisticeps,0,0,0,0,1,0,0,1,0,0,0,0,3,2160000
Abroscopus_superciliaris,0,0,0,0,1,0,0,1,0,0,0,0,3,8290000
Aburria_aburri,1,0,1,0,0,1,0,1,0,0,0,0,2,1880000
Acanthagenys_rufogularis,1,0,0,0,1,1,0,0,0,1,1,0,2,7380000
Acanthidops_bairdii,1,0,1,0,0,1,0,1,0,0,0,0,2,12800
Carduelis_flammea,1,1,1,1,1,1,0,1,0,0,1,0,1,19400000
Acanthisitta_chloris,1,0,0,0,1,1,0,1,0,0,1,0,2,563000
Acanthiza_apicalis,1,0,0,0,1,1,0,1,0,1,1,0,2,5940000
Acanthiza_chrysorrhoa,1,0,0,0,1,1,0,1,0,1,1,0,2,7440000
Gerygone_cinerea,0,0,0,0,1,0,0,1,0,0,0,0,2,677000
Acanthiza_ewingii,1,0,0,0,1,1,0,1,0,0,1,1,2,134000
Acanthiza_inornata,1,0,0,0,1,1,0,1,0,1,1,0,2,195000
Acanthiza_iredalei,1,0,0,0,1,0,0,1,0,0,1,0,2,2410000
Acanthiza_katherina,0,0,0,0,1,0,0,1,0,0,0,0,2,69200
Acanthiza_lineata,1,0,0,0,1,1,0,1,0,1,1,0,2,1810000
Acanthiza_murina,0,0,0,0,1,0,0,1,0,0,0,0,2,278000
Acanthiza_nana,1,0,0,0,1,1,0,1,0,1,1,0,2,2790000
Acanthiza_pusilla,0,0,0,0,1,1,0,1,0,1,1,0,2,2420000
Acanthiza_reguloides,1,0,0,0,1,1,0,1,0,1,0,0,2,2620000
Acanthiza_robustirostris,0,0,0,0,1,0,0,0,0,1,0,0,2,3020000
Acanthiza_uropygialis,1,0,0,0,1,1,0,0,0,1,1,0,2,6120000
Turdoides_nipalensis,0,0,0,0,1,0,0,0,0,0,1,0,2,88900
Acanthorhynchus_superciliosus,1,0,0,0,1,0,0,1,0,1,1,0,2,351000
Acanthorhynchus_tenuirostris,1,0,0,0,1,1,0,1,0,1,1,0,2,3060000
Acanthornis_magna,1,0,0,0,1,0,0,1,0,0,1,0,2,103000
Accipiter_albogularis,0,0,0,0,1,1,0,1,0,0,0,0,2,599000
Accipiter_badius,0,1,0,1,1,1,0,1,1,1,1,0,3,72300000
Accipiter_brachyurus,1,0,0,0,1,0,0,1,0,0,0,0,2,69700
Accipiter_brevipes,0,1,0,1,1,1,0,1,1,0,1,1,3,6290000
Accipiter_butleri,1,0,0,0,1,0,0,1,0,0,0,0,2,3500
Accipiter_castanilius,1,0,0,1,0,0,0,1,0,0,0,0,2,3810000
Accipiter_cirrocephalus,1,0,0,0,1,1,0,1,1,1,1,1,2,14400000
Accipiter_collaris,0,0,1,0,0,0,0,1,0,0,0,0,2,1900000
Accipiter_cooperii,0,1,1,0,0,1,0,1,0,0,1,0,3,11800000
Accipiter_erythrauchen,1,0,0,0,1,1,0,1,0,0,0,0,2,240000
Accipiter_erythropus,1,0,0,1,0,1,0,1,0,1,0,0,2,6880000
Accipiter_fasciatus,1,0,0,0,1,1,0,1,1,1,0,1,2,20100000
Accipiter_francesiae,0,0,0,1,0,1,0,1,0,1,0,0,2,931000
Accipiter_griseiceps,1,0,0,0,1,0,0,1,0,1,0,0,2,430000
Accipiter_gularis,0,1,0,1,1,1,0,1,0,0,1,1,3,11400000
Accipiter_gundlachi,1,0,1,0,0,0,0,1,0,0,0,0,2,213000
Accipiter_haplochrous,1,0,0,0,1,1,0,1,0,1,1,0,2,20800
Accipiter_henicogrammus,1,0,0,0,1,0,0,1,0,0,0,0,2,58700
Accipiter_henstii,1,0,0,1,0,1,0,1,0,1,0,0,2,673000
Accipiter_imitator,1,0,0,0,1,0,0,1,0,0,0,0,2,45500
Accipiter_luteoschistaceus,1,0,0,0,1,1,0,1,0,0,0,0,2,70700
Accipiter_madagascariensis,1,0,0,1,0,0,0,1,0,0,1,0,2,689000
Accipiter_melanochlamys,0,0,0,0,1,1,0,1,0,0,0,0,2,489000
Accipiter_melanoleucus,1,0,0,1,0,1,0,1,0,0,1,1,2,22600000
Accipiter_meyerianus,1,0,0,0,1,0,0,1,0,0,0,0,2,2490000
Accipiter_minullus,0,0,0,1,0,1,0,1,0,1,1,1,2,1.20E+07
Accipiter_nanus,1,0,0,0,1,0,0,1,0,0,0,0,2,387000
Accipiter_nisus,0,1,1,1,1,1,0,1,0,1,1,0,3,54400000
Accipiter_ovampensis,0,0,0,1,0,1,0,0,0,1,1,0,2,18200000
Accipiter_poliocephalus,0,0,0,0,1,1,0,1,0,0,0,0,2,1520000
Accipiter_poliogaster,0,1,1,0,0,0,0,1,0,0,0,0,2,1.10E+07
Accipiter_princeps,1,0,0,0,1,0,0,1,0,0,0,0,2,47900
Accipiter_rhodogaster,1,0,0,0,1,1,0,1,0,0,0,0,2,524000
Accipiter_rufiventris,0,0,0,1,0,1,0,1,1,0,1,0,2,8300000
Accipiter_soloensis,1,1,0,0,1,1,0,1,0,0,1,1,3,4070000
Accipiter_striatus,0,1,1,0,1,1,0,1,0,1,1,0,3,54100000
Accipiter_superciliosus,1,0,1,0,0,0,0,1,0,0,0,0,2,13800000
Accipiter_tachiro,1,0,0,1,0,1,0,1,0,0,0,1,2,8940000
Accipiter_toussenelii,1,0,0,1,0,1,0,1,0,0,0,1,2,11200000
Accipiter_trinotatus,0,0,0,0,1,0,0,1,0,0,0,0,2,419000
Accipiter_trivirgatus,1,0,0,0,1,1,0,1,0,0,0,0,3,17200000
Accipiter_virgatus,1,0,0,0,1,1,0,1,0,0,0,0,3,21200000
Aceros_nipalensis,1,0,0,0,1,0,0,1,0,0,0,0,3,1300000
Achaetops_pycnopygius,0,0,0,1,0,0,0,0,1,0,0,1,2,639000
Sturnus_burmannicus,0,0,0,0,1,1,0,0,1,0,1,0,2,420000
