scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Abeillia abeillei,Abeillia_abeillei,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,379000,1,0,0,1,0,1,0,0,0,0,3
Abroscopus albogularis,Abroscopus_albogularis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,4300000,0,0,1,0,0,1,0,0,1,0,5
Abroscopus schisticeps,Abroscopus_schisticeps,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,1,1,0,2160000,0,0,1,0,0,1,0,0,0,0,5
Abroscopus superciliaris,Abroscopus_superciliaris,Altitudinal Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,8290000,0,0,1,0,0,1,0,0,0,0,5
Aburria aburri,Aburria_aburri,Not a Migrant,Near Threatened,Decreasing,1,1,1,0,0,0,0,0,0,2200000,1,0,0,1,0,1,0,0,0,0,3
Acanthagenys rufogularis,Acanthagenys_rufogularis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,7380000,0,0,1,1,0,0,0,1,1,0,3
Acanthidops bairdi,Acanthidops_bairdii,Not a Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,0,12800,1,0,0,1,0,1,0,0,0,0,3
Acanthis flammea,Carduelis_flammea,Full Migrant,Least Concern,Decreasing,1,1,1,1,1,1,1,1,1,19400000,1,1,1,1,0,1,0,0,1,0,1
Acanthisitta chloris,Acanthisitta_chloris,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,563000,0,0,1,1,0,1,0,0,1,0,3
Acanthiza apicalis,Acanthiza_apicalis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,5940000,0,0,1,1,0,1,0,1,1,0,3
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,7440000,0,0,1,1,0,1,0,1,1,0,3
Acanthiza cinerea,Gerygone_cinerea,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,677000,0,0,1,0,0,1,0,0,0,0,3
Acanthiza ewingii,Acanthiza_ewingii,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,134000,0,0,1,1,0,1,0,0,1,1,3
Acanthiza inornata,Acanthiza_inornata,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,195000,0,0,1,1,0,1,0,1,1,0,3
Acanthiza iredalei,Acanthiza_iredalei,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,2410000,0,0,1,0,0,1,0,0,1,0,3
Acanthiza katherina,Acanthiza_katherina,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,18600,0,0,1,0,0,1,0,0,0,0,3
Acanthiza lineata,Acanthiza_lineata,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,1810000,0,0,1,1,0,1,0,1,1,0,3
Acanthiza murina,Acanthiza_murina,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,278000,0,0,1,0,0,1,0,0,0,0,3
Acanthiza nana,Acanthiza_nana,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,2790000,0,0,1,1,0,1,0,1,1,0,3
Acanthiza pusilla,Acanthiza_pusilla,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,2420000,0,0,1,1,0,1,0,1,1,0,3
Acanthiza reguloides,Acanthiza_reguloides,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,2620000,0,0,1,1,0,1,0,1,0,0,3
Acanthiza robustirostris,Acanthiza_robustirostris,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,3020000,0,0,1,0,0,0,0,1,0,0,3
Acanthiza uropygialis,Acanthiza_uropygialis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,6120000,0,0,1,1,0,0,0,1,1,0,3
Acanthoptila nipalensis,Turdoides_nipalensis,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,1,1,0,88900,0,0,1,0,0,0,0,0,1,0,3
Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,351000,0,0,1,0,0,1,0,1,1,0,3
Acanthorhynchus tenuirostris,Acanthorhynchus_tenuirostris,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,3060000,0,0,1,1,0,1,0,1,1,0,3
Acanthornis magna,Acanthornis_magna,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,103000,0,0,1,0,0,1,0,0,1,0,3
Accipiter albogularis,Accipiter_albogularis,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,599000,0,0,1,1,0,1,0,0,0,0,3
