"","scientificName","orderName","familyName","genusName","Movement","redlistCategory","populationTrend","decline","threatend","habitatNotes","breedArtif","breedCoast","breedDesert","breedForest","breedGrass","breedInter","breedNerit","breedRock","breedSavan","breedShrub","breedUbiqu","breedUnkno","breedWetla","nonbArtif","nonbCoast","nonbDesert","nonbForest","nonbGrass","nonbInter","nonbNerit","nonbRock","nonbSavan","nonbShrub","nonbUbiqu","nonbUnkno","nonbWetla","HabNum","Pac_Americas","Cen_Americas","Atl_Americas","Eas_Atlantic","Black_Sea","Eas_Africa","Cen_Asia","Eas_Asia","Breed_Hemisphere","Nonbreed_Hemisphere","migratory"
"1","Abroscopus albogularis","PASSERIFORMES","SCOTOCERCIDAE","Abroscopus","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,1,3,3,0
"2","Abroscopus schisticeps","PASSERIFORMES","SCOTOCERCIDAE","Abroscopus","Not a Migrant","Least Concern","Stable",0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,0
"3","Abroscopus superciliaris","PASSERIFORMES","SCOTOCERCIDAE","Abroscopus","Altitudinal Migrant","Least Concern","Stable",0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,0
"4","Acanthagenys rufogularis","PASSERIFORMES","MELIPHAGIDAE","Acanthagenys","Not a Migrant","Least Concern","Decreasing",1,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0
"5","Acanthidops bairdi","PASSERIFORMES","THRAUPIDAE","Acanthidops","Not a Migrant","Least Concern","Decreasing",1,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,2,0
"6","Acanthis flammea","PASSERIFORMES","FRINGILLIDAE","Acanthis","Full Migrant","Least Concern","Decreasing",1,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1
"7","Acanthisitta chloris","PASSERIFORMES","ACANTHISITTIDAE","Acanthisitta","Not a Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,1,2,2,0
"8","Acanthiza apicalis","PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Not a Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,1,2,2,0
"9","Acanthiza chrysorrhoa","PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Not a Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,1,2,2,0
"10","Acanthiza cinerea","PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,2,2,0
