scientificName,animal,Movement,migratory,migratory.nomadic,populationTrend,decline,EOO,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere5,Hemisphere,Flyway
Abeillia abeillei,Abeillia_abeillei,Not a Migrant,0,0,Decreasing,1,379000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,1
Abroscopus albogularis,Abroscopus_albogularis,Not a Migrant,0,0,Decreasing,1,4300000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,5,3,4
Abroscopus schisticeps,Abroscopus_schisticeps,Not a Migrant,0,0,Stable,0,2160000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,5,3,4
Abroscopus superciliaris,Abroscopus_superciliaris,Altitudinal Migrant,0,1,Decreasing,1,8290000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,5,3,4
Aburria aburri,Aburria_aburri,Not a Migrant,0,0,Decreasing,1,2200000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,1
Acanthagenys rufogularis,Acanthagenys_rufogularis,Not a Migrant,0,0,Decreasing,1,7380000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,3,2,4
Acanthidops bairdi,Acanthidops_bairdii,Not a Migrant,0,0,Stable,0,12800,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,1
Acanthis flammea,Carduelis_flammea,Full Migrant,1,1,Decreasing,1,19400000,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,7
Acanthisitta chloris,Acanthisitta_chloris,Not a Migrant,0,0,Decreasing,1,563000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Acanthiza apicalis,Acanthiza_apicalis,Not a Migrant,0,0,Decreasing,1,5940000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,Not a Migrant,0,0,Decreasing,1,7440000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthiza cinerea,Gerygone_cinerea,Not a Migrant,0,0,Decreasing,1,677000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Acanthiza ewingii,Acanthiza_ewingii,Not a Migrant,0,0,Decreasing,1,134000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,3,2,4
Acanthiza inornata,Acanthiza_inornata,Not a Migrant,0,0,Decreasing,1,195000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthiza iredalei,Acanthiza_iredalei,Not a Migrant,0,0,Decreasing,1,2410000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,2,4
Acanthiza katherina,Acanthiza_katherina,Not a Migrant,0,0,Decreasing,1,18600,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Acanthiza lineata,Acanthiza_lineata,Not a Migrant,0,0,Decreasing,1,1810000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthiza murina,Acanthiza_murina,Not a Migrant,0,0,Decreasing,1,278000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Acanthiza nana,Acanthiza_nana,Not a Migrant,0,0,Decreasing,1,2790000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthiza pusilla,Acanthiza_pusilla,Not a Migrant,0,0,Stable,0,2420000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthiza reguloides,Acanthiza_reguloides,Not a Migrant,0,0,Decreasing,1,2620000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,2,4
Acanthiza robustirostris,Acanthiza_robustirostris,Not a Migrant,0,0,Stable,0,3020000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,2,4
Acanthiza uropygialis,Acanthiza_uropygialis,Not a Migrant,0,0,Decreasing,1,6120000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,3,2,4
Acanthoptila nipalensis,Turdoides_nipalensis,Not a Migrant,0,0,Stable,0,88900,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,3,2,4
Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus,Not a Migrant,0,0,Decreasing,1,351000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,3,2,4
Acanthorhynchus tenuirostris,Acanthorhynchus_tenuirostris,Not a Migrant,0,0,Decreasing,1,3060000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acanthornis magna,Acanthornis_magna,Not a Migrant,0,0,Decreasing,1,103000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,2,4
Accipiter albogularis,Accipiter_albogularis,Not a Migrant,0,0,Stable,0,599000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Accipiter badius,Accipiter_badius,Full Migrant,1,1,Stable,0,66800000,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,5,3,6
Accipiter bicolor,Accipiter_bicolor,Full Migrant,1,1,Decreasing,1,30000000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,3,1
Accipiter brachyurus,Accipiter_brachyurus,Not a Migrant,0,0,Decreasing,1,69200,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter brevipes,Accipiter_brevipes,Full Migrant,1,1,Stable,0,6600000,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2,1,6
Accipiter butleri,Accipiter_butleri,Not a Migrant,0,0,Decreasing,1,4430,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter castanilius,Accipiter_castanilius,Not a Migrant,0,0,Decreasing,1,3810000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Accipiter cirrocephalus,Accipiter_cirrocephalus,Not a Migrant,0,0,Stable,0,14300000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,3,2,4
Accipiter collaris,Accipiter_collaris,Not a Migrant,0,0,Stable,0,1930000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Accipiter cooperii,Accipiter_cooperii,Full Migrant,1,1,Increasing,0,11800000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,5,3,1
Accipiter erythrauchen,Accipiter_erythrauchen,Not a Migrant,0,0,Decreasing,1,240000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Accipiter erythropus,Accipiter_erythropus,Not a Migrant,0,0,Decreasing,1,6880000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,3,2,2
Accipiter fasciatus,Accipiter_fasciatus,Not a Migrant,0,0,Decreasing,1,20200000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,3,2,4
Accipiter francesiae,Accipiter_francesiae,Not a Migrant,0,0,Decreasing,1,931000,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,3,2,2
Accipiter griseiceps,Accipiter_griseiceps,Not a Migrant,0,0,Decreasing,1,430000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,2,4
Accipiter gularis,Accipiter_gularis,Full Migrant,1,1,Stable,0,11000000,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,5,3,6
Accipiter gundlachi,Accipiter_gundlachi,Not a Migrant,0,0,Decreasing,1,213000,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Accipiter haplochrous,Accipiter_haplochrous,Not a Migrant,0,0,Decreasing,1,20800,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Accipiter henicogrammus,Accipiter_henicogrammus,Not a Migrant,0,0,Decreasing,1,45000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
